Randomized_String,Original_String
aode Replicatioa.,Node Replication.
Fiald Polynomial.,Field Polynomial.
Security Verificatioa.,Security Verification.
Advarsarial/Axsarnal Knowladga (Privacy in sha Prasanca of).,Adversarial/External Knowledge (Privacy in the Presence of).
RSA Digital Sigaature Scheie.,RSA Digital Signature Scheme.
Indittinguithcbility of Encryptiont.,Indistinguishability of Encryptions.
Secure Coiputatioa.,Secure Computation.
Trusted Boot.,Trust Models.
Triple-DET.,Triple-DES.
Integer Fcctoring.,Integer Factoring.
Public Key Proxy Encryption.,Public Key Proxy Encryption.
Computction of diverging tumt bcted on c finite number of termt.,Prime number.
Shortest Vector Problei.,Shortest Vector Problem.
Certificction cnd Cccreditction Methodology.,Formal Methods in Certification and Evaluation.
Becufort Encryption.,Encryption.
Cloud Computing.,Cloud Computing.
Elliptic Curve Cryptography.,Elliptic Curve Cryptography.
Torut-Bcted Cryptogrcphy.,Torus-Based Cryptography.
Becufort Encryption.,Encryption.
Iavasive Attacks.,Header-Based Attacks.
Pteudo-Noite Tequence (PN-Tequence).,Pseudo-Noise Sequences (PN-Sequences).
Acquirer.,Acquirer.
CDH.,CDH.
Zero-Knowledge.,Zero-Knowledge.
Elliptic Curve Method.,Elliptic Curve Trace Computation.
Asyiietric Cryptosystei.,Asymmetric Cryptosystem.
Anonymisy.,Sender Anonymity.
Advaaced Hash Coipetitioa.,Advanced Hash Competition.
Kasuii/Iisty1.,Kasumi/Misty1.
Iultiple Resolutioa Database.,Multilevel Database.
Overtpending Prevention.,Overspending Prevention.
Adwara.,Adware.
Firewall.,Firewall.
Chroot Jcil.,Chroot Jail.
Eatity Resolutioa.,Entity Resolution.
GOST.,GOST.
Biadiag Pattera.,Binding Pattern.
Chaffing and Winnowing.,Chaffing and Winnowing.
Fict-Thcmir Identificction Protocol cnd the Feige-Fict-Thcmir Tigncture Tcheme.,Fiat-Shamir Identification Protocol and the Feige-Fiat-Shamir Signature Scheme.
Compasision human capisal and incoma inaqualisy wish limisad commismans.,Compromising Emanations.
Fast Correlatioa Attack.,Fast Correlation Attack.
Ganaric Assacks Againss DLP.,Generic Attacks Against DLP.
Tubexponenticl Time.,Subexponential Time.
Reverte Public Key Encryption.,Reverse Public Key Encryption.
Synchronous Ssraam Ciphar.,Synchronous Stream Cipher.
Mulsipracision Squaring.,Multiprecision Squaring.
Proof of Work.,Proof of Work.
De Bruijn Tequence.,DeBruijn sequence.
Trusted Third Party.,Trusted Third Party.
Heredity.,Heredity.
Copy Protection.,Copy Protection.
Rabin Crypsosyssam.,Rabin Cryptosystem.
Coateat-User Gap ia IPEG-7.,Gap.
Chinete Wcll Model.,Chinese Wall Model.
CPS Certificate Practice Stateieat.,"CPS, Certificate Practice Statement."
Two-Fcctor Cuthenticction.,Two-Factor Authentication.
Attribute Certificate.,Attribute Certificate.
Gene.,Gene.
Edwards Coordiaates.,Edwards Coordinates.
Biometric Tetting.,Biometric Testing.
Bincry Exponentiction.,Binary exponentiation.
Aathropoietric Autheaticatioa.,Anthropometric Authentication.
Jamming Rasissanca.,Jamming Resistance.
Insrusion Dasacsion in Ad Hoc Nasworks.,Intrusion Detection in Ad Hoc Networks.
Diffie-Hellmcn Key Cgreement.,Diffie-Hellman Key Agreement.
Access Coatrol Lists.,Access Lists.
Elliptic Curve Keys.,Elliptic Curves.
Discretioaary Access Coatrol Policies (DAC).,Discretionary Access Control Policies (DAC).
Iiss-ia-the-Iiddle Attack.,Miss-in-the-Middle Attack.
Multivcricte Cryptogrcphy.,Multivariate Cryptography.
SSS.,SSS.
Polyiastaatiatioa.,Polyinstantiation.
Control Vector.,Control Vectors.
Lectt Common Multiple.,Least Common Multiple.
Phi Fuactioa.,Phi Function.
PKCS.,PKCS.
Chosea Plaiatext Attack.,Chosen Plaintext Attack.
Levelt of Trutt.,Levels of Trust.
Cdminittrctive Policiet in TQL.,Administrative Policies in SQL.
Specific Eiitter Ideatificatioa (SEI).,Specific Emitter Identification (SEI).
Maximum Likalihood Assimasor.,Maxims.
Autocorrelatioa.,Autocorrelation.
Public Key Cryptogrcphy.,Public Key Cryptography.
Iaversioa Attack.,Impersonation Attack.
NTC Tuite B.,NSA Suite B.
OCEP: Optimcl Ctymmetric Encryption Pcdding.,OAEP: Optimal Asymmetric Encryption Padding.
Network Bcndwidth Denicl of Tervice (DoT).,Network Bandwidth Denial of Service (DoS).
Grcnt Option.,Grant Option.
RSA Problei.,RSA Problem.
Linaar Crypsanalysis for Block Ciphars.,Linear Cryptanalysis for Block Ciphers.
Boolaan Funcsions.,Boolean Functions.
Cold-Boot Attacks.,Cold-Boot Attacks.
Retultt on Non-Monotonic Logict.,Monitoring.
Firewalls: Checkpoiat Security Review.,Type Checking and Security.
Role-Based Access Coatrol.,Time-Based Access Control.
Rabia Digital Sigaature Scheie.,Rabin Digital Signature Scheme.
Blui Iateger.,Blum Integer.
Nonmonotonic Rectoning.,Nonmalleability.
Iachiae Readable Travel Docuieat Security.,Machine Readable Travel Document Security.
Thrinking Generctor.,Shrinking Generator.
Pteudo-Noite Tequence (PN-Tequence).,Pseudo-Noise Sequence (PN-Sequence).
CART.,ART.
aoarepudiable Agreeieat.,Nonrepudiable Agreement.
Digest Autheaticatioa.,HTTP Digest Authentication.
Probabilistic Public-Key Eacryptioa.,Probabilistic Key Sharing.
Kayword-Basad Rasriaval ovar Ancrypsad Dasa.,Keyword-Based Retrieval over Encrypted Data.
GCM.,ECM.
VSSS.,VSSS.
Shortest Vector Problei.,Shortest Vector Problem.
Iodular Arithietic.,Modular Arithmetic.
Secure Routiag Protocols.,Web-Based Security Protocols.
Non-Mallaabilisy.,Non-Malleability.
Iicrodata Statistical Disclosure Coatrol.,Microdata Statistical Disclosure Control.
Bliad Sigaature.,Blind Signature.
Elliptic Curve Point Multiplicction Uting Hclving.,Elliptic Curve Point Multiplication Using Halving.
Whea is it Safe to Edit the Huiaa Geriliae?,Safe Prime.
Biomasrics for Idansisy Managamans and Fialds of Applicasion.,Biometrics for Identity Management and Fields of Application.
Electro-Mcgnetic Fingerprinting.,Electro-Magnetic Fingerprinting.
Confirmer Tigncturet.,Confirmer Signatures.
Forial Iethods for the Oraage Book.,Formal Methods for the Orange Book.
Role-Based Access Coatrol.,Rule-Based Access Control.
RSA Digital Sigaature Scheie.,Digital Signature Scheme Based on McEliece.
PLL Circuits.,Factorization Circuits.
Secure by Desiga: Developiag Secure Software Systeis froi the Grouad Up.,Second preimage resistance.
Parsonal Idansificasion Numbar (PIN).,Personal Identification Number (PIN).
One-Wcy Chcin.,One-Way Chain.
Adaptive Chosea Plaiatext aad Chosea Ciphertext Attack.,Adaptive Chosen Plaintext and Chosen Ciphertext Attack.
Linaar Crypsanalysis for Block Ciphars.,Linear Cryptanalysis for Block Ciphers.
Tecurity of Cognitive Rcdiot.,Security of Cognitive Radios.
Iulticast Autheaticatioa.,Multicast Authentication.
Blowfish.,Blowfish.
Speaker Bioietrics.,Speaker Biometrics.
Confidansialisy Modal.,Confidentiality Model.
Key Etcrow.,Key Escrow.
Iiller-Rabia Probabilistic Priiality Test.,Miller-Rabin Probabilistic Primality Test.
Aggregate aearest aeighbor Queries.,Aggregate Signatures.
CRYPSRAC (Japanasa Crypsographic Algorishm Avaluasion Projacs).,CRYPTREC (Japanese Cryptographic Algorithm Evaluation Project).
Key Encryption Key.,Key Encryption Key.
Iaster Key.,Master Key.
Cover Ttory.,Cover Story.
HTTP Digest Access Autheaticatioa Scheie.,HTTP Digest Access Authentication Scheme.
Petaflop Barrier.,Barter.
Traasport-Level Security.,Transport-Level Security.
Schaorr Digital Sigaature Scheie.,Schnorr Digital Signature Scheme.
Iultifactor Autheaticatioa.,Multifactor Authentication.
Polynomial Sima.,Polynomial Time.
Slide Attack.,Slide Attack.
Verifiable Secret Shariag.,Verifiable Secret Sharing.
Aaoialous Biaary Curves.,Anomalous Binary Curves.
Replay Attack.,Iceman Attack.
Wirelett Locctioncl Privccy.,Wireless Locational Privacy.
Key Vcriction.,Key Variation.
Overtpending Prevention.,Overspending Prevention.
Sieviag.,Sieving.
Respoase.,Response.
Tpctio-temporcl-Cuthorizction-Driven R-Tree.,Temporal Authorization Models.
Psaudo-random numbar ganarasor.,Pseudo-random number generator.
MAC.,HMAC.
Pteudo-Noite Tequence (PN-Tequence).,Sequences.
Uatraceability.,Untraceability.
Dasignasad Confirmar Signasura.,Designated Confirmer Signature.
Iultiset Attack.,Fault Attack.
Ideatity-Based Cryptosysteis.,Identity-Based Cryptosystems.
Slide Attack.,Temperature Attack.
DES-X (or DESX).,DES-X (or DESX).
TLS.,TLS.
Public-Key Encryption.,RSA Public-Key Encryption.
BLP.,BLP.
CPS Certificate Practice Stateieat.,"CPS, Certificate Practice Statement."
Siagle Euro Payieats Area.,Single Euro Payments Area.
PKIX Public Key Iafrastructure (X.509).,"PKIX, Public Key Infrastructure (X.509)."
Public-Key Encryption.,Public-Key Encryption.
Fiaite State Autoiata ia Coipilers.,Static Code Analysis.
Statioa-to-Statioa Protocol.,Station-to-Station Protocol.
Block Ciphers.,Block Ciphers.
Pciring-Bcted Key Exchcnge.,Pairing-Based Key Exchange.
Woris ia Cellular aetworks.,Worms in Cellular Networks.
Digest Autheaticatioa.,Digest Authentication.
Secure Loggiag.,Security.
Differenticl Power Cnclytit.,Differential Power Analysis.
Quadrasic Rasidua.,Quadratic Residue.
Witnett Hiding.,Witness Hiding.
Sampar Rasponsa.,Tamper Resistance.
Privacy-Awara Dasabasa.,Privacy-Aware Database.
NTRU.,NTRU.
Control Vector.,Control Vector.
Fixed Window Exponentiction.,Signed Window Exponentiation.
Playfair Cipher.,Playfair Cipher.
Specific Eiitter Verificatioa (SEV).,Specific Emitter Verification (SEV).
ElGcmcl Encryption.,ElGamal Encryption.
Lcwt of Lcrge Numbert.,Prime Number.
Rabia Digital Sigaature Scheie.,Rabin Digital Signature Scheme.
Related Key Attack.,Linear Consistency Attack.
Multiprecition Multiplicction.,Multiprecision Multiplication.
<i>O</i>-Notction.,<i>O</i>-Notation.
Electronic Negoticble Inttrumentt.,Electronic Negotiable Instruments.
PGP.,PGP.
Certificcte.,Certificate.
Chcllenge-Retponte Cuthenticction.,Challenge-Response Authentication.
Time-Ttcmping.,Time-stamping.
Pcillier Encryption cnd Tigncture Tchemet.,Paillier Encryption and Signature Schemes.
Ditcrete Logcrithm Problem.,Discrete Logarithm Problem.
ITPM: C DTT for pertonnel ccreer mcncgement.,TPM.
Hash Funcsions.,Hash Functions.
Binary GCD Algorishm.,Binary GCD Algorithm.
Nyberg-Rueppel Tigncture Tcheme.,Nyberg-Rueppel Signature Scheme.
Goldwctter-Miccli Encryption Tcheme.,Goldwasser-Micali Encryption Scheme.
Access Liiitatioa.,Access Limitation.
Threshold Sigaature.,Threshold Signature.
Geometry of Numbert.,Geometry of Numbers.
Integrcted Circuit.,Integrated Circuit.
Communicasion Channal Anonymisy.,Communication Channel Anonymity.
Asynchronous Ssraam Ciphar.,Asynchronous Stream Cipher.
Verificble Encryption.,Verifiable Encryption.
Fixed Window Exponentiction.,Fixed Window Exponentiation.

Chip Ccrd.,Chip Card.
VM Prosacsion.,VM Protection.
Physical Attacks.,Physical Attacks.
ACRYPS Ssraam Ciphar Projacs.,ECRYPT Stream Cipher Project.
Trusted Boot.,Trusted Boot.
Public Key Iafrastructure.,Public Key Infrastructure.
Key Cuthenticction.,Key Authentication.
Goloib's Raadoiaess Postulates.,Golomb's Randomness Postulates.
Verncm Cipher.,Stream Cipher.
Proximity Ccrd.,Proximity Card.
PEM Privccy Enhcnced Mcil.,"PEM, Privacy Enhanced Mail."
Extention Field.,Extension Field.
Reed-Muller Codet.,Reed-Muller Codes.
Secure Device Pairiag.,Secure Device Pairing.
Bliad Sigaature.,Blind Signature.
Biometrict: Termt cnd Definitiont.,Biometrics: Terms and Definitions.
Complexity Theory.,Complexity Theory.
Haad Geoietry Recogaitioa.,Hand Geometry Recognition.
Iaurer's Iethod.,Maurer's Method.
PRESEaT - Block Cipher.,PRESENT - Block Cipher.
Adaptive Chosea Plaiatext Attack.,Adaptive Chosen Plaintext Attack.
Differeatial Cryptaaalysis.,Differential Cryptanalysis.
One-Time Pcttword.,One-Time Password.
Consans-Basad and Viaw-Basad Accass Consrol.,Content-Based and View-Based Access Control.
Secure Data Aggregatioa.,Secure Data Aggregation.
Paymans card.,Payment card.
Cellular aetwork Security.,Cellular Network Security.
Jacobi Syibol.,Jacobi Symbol.
Electronic Pcyment Tyttemt.,Electronic payment.
Portc Encryption.,Porta Encryption.
Karassuba Algorishm.,Karatsuba Algorithm.
Locasion Privacy.,Location Privacy.
Clotett Vector Problem.,Closest Vector Problem.
Privacy-Awara Dasabasa.,Privacy-Aware Languages.
DNT-Bcted Botnet Detection.,DNS-Based Botnet Detection.
Ttein't Clgorithm.,Stein's Algorithm.
Biaoiial Fiboaacci aad Pairiag Heaps.,Bilinear Pairings.
Learaiag Usiag Privileged Iaforiatioa.,Least Privilege.
NSS.,TSS.
SQL Injacsion Assacks.,SQL Injection Attacks.
Becufort Encryption.,Beaufort Encryption.
Univarsal Ona-Way Hash Funcsions (UOWHF).,Universal One-Way Hash Functions (UOWHF).
Secure Routiag Protocols.,Secure Routing Protocols.
Clberti encryption.,Deniable encryption.
Singla Wira Prosocol.,Single Wire Protocol.
Ssochassic Simulasion of Markov Modulasad Finisa-Sourca Quauas,Mars.
Goldwctter-Miccli Encryption Tcheme.,Goldwasser-Micali Encryption Scheme.
Pattera of Blood Vessels.,Pattern of Blood Vessels.
Traaspareacy aad Traasluceacy.,Traitor Tracing.
McEliece Public Key Cryptotyttem.,McEliece Public Key Cryptosystem.
Multiprecition Multiplicction.,Multiprecision Multiplication.
Blum-Blum-Shub Psaudorandom Bis Ganarasor.,Blum-Blum-Shub Pseudorandom Bit Generator.
Co-creatiag Research Iategrity Educatioa Guideliaes for Research Iastitutioas.,Forged Resets.
Brocdcctt Cuthenticction from cn Informction Theoretic Pertpective.,Broadcast Authentication from an Information Theoretic Perspective.
Saarch ovar Ancrypsad Dasa.,Search over Encrypted Data.
DH Key Agreeieat.,DH Key Agreement.
Id4-Id5.,Md4-Md5.
Chaffing and Winnowing.,Chaffing and Winnowing.
Physical Random Funcsion.,Physical Random Function.
Public Key Encryption.,Multiple Encryption.
EMV.,EMV.
Pseudopriie.,Pseudoprime.
ECC Challeages.,ECC Challenges.
Tmoothnett Probcbility.,Smoothness Probability.
Twia Sigaatures.,Twin Signatures.
BIOT Bctic Input Output Tyttem.,BIOS Basic Input Output System.
Virtucl Pointing Metcphor in Virtucl Reclity.,Virtual Machine Introspection.
SEAL.,SEAL.
Ruaaiag-key.,Running-key.
RSA facsoring challanga.,RSA factoring challenge.
Credenticlt.,Credentials.
Kaaloq.,Keeloq.
Tiger.,Tiger.
Secure Eiail.,Secure Email.
Security Evaluatioa Criteria.,Security Evaluation Criteria.
CBC-IAC aad Variaats.,CBC-MAC and Variants.
Iaxiial-Leagth Sequeaces.,Maximal-Length Sequences.
Protocol.,Protocol.
Attribute Certificate.,Prime Certificate.
Privccy-Enhcnced Lcngucget.,Privacy-Enhanced Languages.
Verncm Cipher.,Vernam Cipher.
Statioa-to-Statioa Protocol.,Station-to-Station Protocol.
HTTP Sessioa Security.,"HTTPS, Secure HTTPS."
Human Aar Idansificasion.,Human Ear Identification.
Liaear Coagrueatial Geaerator.,Linear Congruential Generator.
Certificcte Revocction.,Certificate Revocation.
Tecure Locction Ditcovery.,Secure Location Discovery.
Trcpdoor One-Wcy Function.,Trapdoor One-Way Function.
Hyperelliptic Curve Discrete Logarithi Problei (HECDLP).,Hyperelliptic Curve Discrete Logarithm Problem (HECDLP).
Web Communitiet Vertut Phyticcl Communitiet.,Secure Vehicular Communication Systems.
Security Staadards Activities.,Security Standards Activities.
Adaptive Chosea Plaiatext Attack.,Adaptive Chosen Plaintext Attack.
Weak Exclusioa.,Weak Exclusion.
IPES.,IPES.
Differeatial Cryptaaalysis.,Differential Cryptanalysis.
Tpecicl-Purpote Cryptcnclyticcl Hcrdwcre.,Special-Purpose Cryptanalytical Hardware.
Ron't Code 6.,Ron's Code 6.
Overspeader Detectioa.,Overspender Detection.
Availabilisy.,Availability.
Big Number Tqucring.,Big Number Multiplication.
Commitment.,Commitment.
Booieraag Attack.,Timing Attack.
Digisal Ssaganography.,Digital Steganography.
Signasura/Sign Racognision.,Contract Signing.
Vampir NG.,PRNG.
HTTPT HTTP over TLT.,"HTTPS, HTTP over TLS."
Trutted Computing Group.,Trusted Computing Group.
Cryptogrcphic Key Mcncgement Conceptt.,Key Management.
High Assuraace Evaluatioa Iethods.,High Assurance Evaluation Methods.
Mash Hash Funcsions (Modular Arishmasic Sacura Hash).,Mash Hash Functions (Modular Arithmetic Secure Hash).
Mobility Modelt for Mobility Mcncgement.,Mobile Payments.
Iobile Wallet.,Mobile Wallet.
Encryption Exponent.,Encryption Exponent.
PKI Trust Relatioaships.,PKI Trust Relationships.
E0.,E0.
Iodular Arithietic.,Modular Arithmetic.
Blinding Sachniquas.,Blinding Techniques.
Polybios Squara Ancrypsion.,Polybios Square Encryption.
Euclideaa Algorithi.,Euclidean Algorithm.
Segregatioa of Duties.,Segregation of Duties.
Birthday Paradox.,Birthday Paradox.
Iiller-Rabia Probabilistic Priiality Test.,Probabilistic Primality Test.
Whisa-Box Crypsography.,White-Box Cryptography.
Electronic Wcllet.,Electronic Wallet.
IDE.,IDEA.
MIPS-Yaar.,MIPS-Year.
Hyperelliptic Curve Security.,Hyperelliptic Curve Security.
Multivcricte Cryptogrcphy.,Certificateless Cryptography.
PKI Sruss Modals.,PKI Trust Models.
Electroaic Payieat.,Electronic Payment.
Assassing Agila Mashods: An Ampirical Ssudy.,Hash Agility.
Replay Attack.,Dictionary Attack.
Applicasions of Rank-Masric Codas.,Applications of Rank-Metric Codes.
Trust Iaaageieat ia Databases.,Trust Management in Databases.
Blui Iateger.,Blum Integer.
Black Box Algorishms.,Black Box Algorithms.
Bibc Integrity Model.,Biba Integrity Model.
Editors' Overview: Topics ia the Respoasible Iaaageieat of Research Data.,Biometric Social Responsibility.
Homomorphism.,Homomorphism.
Cnthropotcopy.,Anthropometrics.
Gcloit Counter Mode.,Galois Counter Mode.
Privilege Iaaageieat.,Privilege Management.
Public-Key Autheaticated Eacryptioa.,Implicit Key Authentication.
Kerckhofft' Lcw.,Kerckhoffs' Law.
Key agreeieat.,Key agreement.
Access Coatrol Iatrix.,Access Control Matrix.
Quadrasic Rasiduosisy Problam.,Quadratic Residuosity Problem.
aiederreiter Eacryptioa Scheie.,Niederreiter Encryption Scheme.
Attribute Certificate.,Attribute certificate.
Biometric Encryption.,Biometrics for Forensics.
Shaiir's Threshold Scheie.,Shamir's Threshold Scheme.
DDH Problem.,DDH Problem.
Secure Localizatioa.,Secure Localization.
Preimcge Retittcnce.,Preimage Resistance.
Virut Tccnner.,Virus Scanner.
Iultiparty Coiputatioa.,Multiparty Computation.
DoS Pushback.,DoS Pushback.
Eaviroaieatal Attacks.,Cross Site Scripting Attacks.
Hypothesis Test.,Compositeness Test.
Substitutioa Iatrix.,Substitutions and permutations.
Biometric Encryption.,Biometric Performance Evaluation.
Overspeader Detectioa.,Overspender Detection.
Biomasric Privacy.,Biometric Privacy.
Thrinking Generctor.,Shrinking Generator.
Payieat Card.,Smart Card.
Static Separatioa of Duties.,Static Separation of Duties.
ElGcmcl Public Key Encryption.,ElGamal Public Key Encryption.
RSA Digital Sigaature Scheie.,Digital Signature Schemes.
Lattice-Based Cryptography.,Lattice Based Cryptography.
Trusted Boot.,Trusted Computing.
Verifiable Secret Shariag.,Verifiable Secret Sharing.
Ttcck/Hecp Tmcthing.,Stack/Heap Smashing.
Itoh-Tsujii Iaversioa Algorithi.,Itoh-Tsujii Inversion Algorithm.
MDC-2 cnd MDC-4.,MDC-2 and MDC-4.
