Randomized_String,Original_String
C Germcny-Brczil Experience Report on Tecching Toftwcre Engineering for Electriccl Engineering Undergrcducte Ttudentt.,Application of Genetic Programming for Electrical Engineering Predictive Modeling: A Review.
Avaluasion of Liquafacsion Posansial of Soil Basad on Shaar Wava Valocisy Using Mulsi-Gana Ganasic Programming.,Evaluation of Liquefaction Potential of Soil Based on Shear Wave Velocity Using Multi-Gene Genetic Programming.
Geroatological Perspectives oa Aibieat Assisted Liviag.,Gerontological Perspectives on Ambient Assisted Living.
Utilizatioa of Cloud Iafrastructures for Pervasive Healthcare Applicatioas.,Utilization of Cloud Infrastructures for Pervasive Healthcare Applications.
Preparatioa aad Start-Up Phase of the Europeaa AAL Joiat Prograiie.,Preparation and Start-Up Phase of the European AAL Joint Programme.
Development of c Toftwcre Engineering Ontology for Multitite Toftwcre Development.,"Housing, Gerontology and AAL: New Services Development."
Procett-Technology Fit: Extending Tctk-Technology Fit to Cttett Enterprite Informction Technologiet.,Innovative Rehabilitation Technologies for Home Environments - An Overview.
Home-Bcted Computer Vition Cccett Technologiet for Individuclt with Tevere Motor Impcirmentt.,Home-Based Computer Vision Access Technologies for Individuals with Severe Motor Impairments.
Shariag Iy Health Data: A Survey of Data Shariag Prefereaces of Healthy Iadividuals.,Happy Healthy Home.
Case-Based Reasoaiag ia the Health Scieaces: Why It Iatters for the Health Scieaces aad for CBR.,AAL in the Health Space - A Reflection.
The Role of Cttittive Technology in Tupporting Formcl Ccrert.,The Role of Assistive Technology in Supporting Formal Carers.
Iatroductioa to Sectioa oa AAL for Rehabilitatioa.,Introduction to Section on AAL for Rehabilitation.
PLM Reference Model: C Prelimincry Propotcl for Reference Model Evolution.,The universAAL Reference Model for AAL.
Uting Cloud Nctive Technologiet to Underttcnd the Performcnce of Cloud Nctive Technologiet.,New Ambient Assistive Technologies: The Users' Perspectives.
Siart Hoies as a Vehicle for AAL.,Smart Homes as a Vehicle for AAL.
R&cmp;D Projectt Relcted to CCL in TECNCLIC't Heclth Technologiet Unit.,R&amp;D Projects Related to AAL in TECNALIA's Health Technologies Unit.
Cttittive Technologiet for People with Cognitive Impcirmentt - Which Fcctort Influence Technology Ccceptcnce?,"Smart Home Technologies for People with Cognitive Impairment: An Affordable, Rehabilitative Approach."
Improving Productivity of Loccl Toftwcre Development Tecmt in c Globcl Toftwcre Development Environment.,Introduction to Section on Future Developments and Visions for the AAL Area.
The aatioaal Health Service ia Eaglaad - Ioviag to Iaiastreai Use of Aibieat Assisted Liviag Techaology.,The National Health Service in England - Moving to Mainstream Use of Ambient Assisted Living Technology.
Healthcare@Hoie: Research Iodels for Patieat-Ceatred Healthcare Services.,Biometrics in Healthcare - A Research Overview.
Aibieat Assisted Liviag Techaology to Support Older Adults with Deieatia with Activities of Daily Liviag: Key Coacepts aad the State of the Art.,Ambient Assisted Living Technology to Support Older Adults with Dementia with Activities of Daily Living: Key Concepts and the State of the Art.
Smars Living Anvironmans: Ubiquisous Compusing Approach Basad on SRON Archisacsura.,Smart Living Environment: Ubiquitous Computing Approach Based on TRON Architecture.
Ttudy on Future Trend of the Elderly Ccre from the Ctpect of Cttittive Technology Rentcl Tyttem in Jcpcn.,Study on Future Trend of the Elderly Care from the Aspect of Assistive Technology Rental System in Japan.
Social Spacas for Rasaach and Innovasion (SSRI): Usars Laading Rasaarch and Innovasion in Ambians Assissad Living.,Social Spaces for Reseach and Innovation (SSRI): Users Leading Research and Innovation in Ambient Assisted Living.
Mediccl Informction Mcncgement with ECG Biometrict: C Tecure cnd Effective Frcmework.,Medical Information Management with ECG Biometrics: A Secure and Effective Framework.
Connecting Communitiet: The Role of Detign Ethnogrcphy in Developing Tocicl Ccre Technologiet for Itolcted Older Cdultt.,Connecting Communities: The Role of Design Ethnography in Developing Social Care Technologies for Isolated Older Adults.
TmcrtTenior - Intelligent Tervicet for Tenior Citizent.,SmartSenior - Intelligent Services for Senior Citizens.
C Prelimincry Review of Behcviourcl Biometrict for Heclth Monitoring in the Elderly.,Biometric Monitoring of Behaviour.
Localiziag Wireless Seasors with Diverse Graaularities ia Wireless Seasor aetworks.,Managing Chronic Conditions Using Wireless Sensor Networks.
Delivering Technology Enriched Heclth cnd Tocicl Ccre: Policy Context for Uter Focuted Retecrch.,Delivering Technology Enriched Health and Social Care: Policy Context for User Focused Research.
Gait Profile - A Bioietric that Defiaes Our Iobility.,Gait Profile - A Biometric that Defines Our Mobility.
Electroaic-Early Waraiag Scorecard: Aa Iatelligeat Coatext Aware Decisioa Iakiag Approach for Patieat Ioaitoriag.,Electronic-Early Warning Scorecard: An Intelligent Context Aware Decision Making Approach for Patient Monitoring.
Retecrch on Fcce Recognition Tportt Intelligence Trcining Plctform Bcted on Crtificicl Intelligence.,Face Recognition in Ambient Intelligence Applications.
A Seasor aetwork Utiliziag Coasuier Wearables for Telerehabilitatioa of Post-Acute COVID-19 Patieats.,ICT Infrastructures for Telerehabilitation.
Seasor Selectioa to Support Practical Use of Health-Ioaitoriag Siart Eaviroaieats.,Sensor Selection to Support Practical Use of Health-Monitoring Smart Environments.
Bayond Syssam Insagrasion: Who Whas How and Whan.,"Beyond System Integration: Who, What, How, and When."
Growing Oldar Sogashar: Whan a Robos Bacomas sha Bass Ally for Againg Wall.,Growing Older Together: When a Robot Becomes the Best Ally for Ageing Well.
Assisted Aibieat Liviag Applied to Reiote Iotor Rehabilitatioa.,Assisted Ambient Living Applied to Remote Motor Rehabilitation.
IaCA: A Software Iafrastructure to Facilitate the Coastructioa aad Evolutioa of Ubiquitous Capture &aip; Access Applicatioas.,Devices and Infrastructure to Facilitate AAL.
AAL Sachnologias in Rahabilisasion - Lassons Laarnad from a COPD Casa Ssudy.,AAL Technologies in Rehabilitation - Lessons Learned from a COPD Case Study.
Monitoring Pctternt of Incctivity in the Home with Domotict Networkt.,Monitoring Patterns of Inactivity in the Home with Domotics Networks.
LiKeIT - RFID-Based KeepIaTouch Lifestyle Ioaitoriag.,LiKeIT - RFID-Based KeepInTouch Lifestyle Monitoring.
In-Home Monitoring Technologiet: Pertpectivet cnd Prioritiet of Older Cdultt.,In-Home Monitoring Technologies: Perspectives and Priorities of Older Adults.
Haadbook of Aibieat Assisted Liviag - Techaology for Healthcare Rehabilitatioa aad Well-beiag,"Handbook of Ambient Assisted Living - Technology for Healthcare, Rehabilitation and Well-being"
AAL Iarkets - Kaowiag Thei Reachiag Thei. Evideace froi Europeaa Research.,"AAL Markets - Knowing Them, Reaching Them. Evidence from European Research."
Desigaiag Aibieat aad Persoaalised Displays to Eacourage Healthier Lifestyles.,Designing Ambient and Personalised Displays to Encourage Healthier Lifestyles.
Usiag Huiaa Factors to Guide the Desiga aad Iipleieatatioa of Coasuier Health Iaforiatics Iaterveatioas.,Using Human Factors to Guide the Design and Implementation of Consumer Health Informatics Interventions.
Adaptive aeck Support for Wellbeiag Duriag Air Travel.,Adaptive Neck Support for Wellbeing During Air Travel.
FI-STAR Oaliae Persoaalised Cardiac Rehabilitatioa Solutioa.,AAL in Cardiac Rehabilitation.
Tupporting Wellbeing Through Improving Intercctiont cnd Underttcnding in Telf-Monitoring Tyttemt.,Supporting Wellbeing Through Improving Interactions and Understanding in Self-Monitoring Systems.
Teleheclthccre Development &cmp; Effectivenett in Tciwcn.,Telehealthcare Development &amp; Effectiveness in Taiwan.
Trccking Ncturcl Humcn Movementt Identifiet Differencet in Cognition cnd Heclth.,Tracking Natural Human Movements Identifies Differences in Cognition and Health.
Optimizing Tcrgeting of Intrution Detection Tyttemt in Tocicl Networkt.,Optimizing Targeting of Intrusion Detection Systems in Social Networks.
Iulti-Relatioaal Characterizatioa of Dyaaiic Social aetwork Coiiuaities.,Multi-Relational Characterization of Dynamic Social Network Communities.
Decentrclized Online Tocicl Networkt.,Decentralized Online Social Networks.
C Model for Ttructuring cnd Reuting Tecurity Requirementt Tourcet cnd Tecurity Requirementt.,Security Requirements for Social Networks in Web 2.0.
Uaderstaadiag aad Predictiag Huiaa Behavior for Social Coiiuaities.,Understanding and Predicting Human Behavior for Social Communities.
Structure aad Dyaaiics of Social aetworks Revealed by Data Aaalysis of Actual Coiiuaicatioa Services.,Structure and Dynamics of Social Networks Revealed by Data Analysis of Actual Communication Services.
"Perspectives oa ""Earth Observatioa aad GIScieace for Agricultural Applicatioas"".",Perspectives on Social Network Analysis for Observational Scientific Data.
Online Identitiet cnd Tocicl Networking.,Online Identities and Social Networking.
Coacept Discovery ia Youtube.coi Usiag Factorizatioa Iethod.,Concept Discovery in Youtube.com Using Factorization Method.
Analyzing sha Dynamics of Communicasion in Onlina Social Nasworks.,Analyzing the Dynamics of Communication in Online Social Networks.
Social Naswork Analysis: Hissory Concapss and Rasaarch.,"Social Network Analysis: History, Concepts, and Research."
Ditcovering Mobile Tocicl Networkt by Temcntic Technologiet.,Discovering Mobile Social Networks by Semantic Technologies.
Corralasing Parformanca Wish Social Naswork Ssrucsura Shrough Saaching Social Naswork Analysis.,Applications of Social Network Analysis.
Associasing Human-Cansarad Concapss wish Social Nasworks Using Fuzzy Sass.,Associating Human-Centered Concepts with Social Networks Using Fuzzy Sets.
Pixal-Oriansad Naswork Visualizasion: Ssasic Visualizasion of Changa in Social Nasworks.,Visualization of Social Networks.
Evaluatiag Web Accessibility of Educatioaal Websites.,Accessibility Testing of Social Websites.
Sacurisy and Privacy in Onlina Social Nasworks.,Security and Privacy in Online Social Networks.
Modificasion of Social Dominanca in Social Nasworks by Salacsiva Adjussmans of Insarparsonal Waighss.,Analysis of Social Networks by Tensor Decomposition.
Dacision Making Procassas in Onlina Social Nasworks: A Comparasiva Analysis of Haalsh and Financial Onlina Social Nasworks.,Managing Trust in Online Social Networks.
Modeling Temporcl Vcriction in Tocicl Network: Cn Evolutioncry Web Grcph Cpprocch.,Modeling Temporal Variation in Social Network: An Evolutionary Web Graph Approach.
A aovel Visualizatioa Systei for Expressive Facial Iotioa Data Exploratioa.,Novel Visualizations and Interactions for Social Networks Exploration.
Aaalysis of Social aetworks Extracted froi Log Files.,Analysis of Social Networks Extracted from Log Files.
Iobile Phoaes aad Outdoor Advertisiag: Ieasurable Advertisiag.,Online Advertising in Social Networks.
Tocicl Bookmcrking on c Compcny't Intrcnet: C Ttudy of Technology Cdoption cnd Diffution.,Social Bookmarking on a Company's Intranet: A Study of Technology Adoption and Diffusion.
Qualisasiva Analysis of Commarcial Social Naswork Profilas.,Qualitative Analysis of Commercial Social Network Profiles.
Ovarlapping Communisy Dasacsion in Social Naswork Using Disjoins Communisy Dasacsion.,Detecting Communities in Social Networks.
Ditcovering Communitiet from Tocicl Networkt: Methodologiet cnd Cpplicctiont.,Discovering Communities from Social Networks: Methodologies and Applications.
Unsocial Nasworks - Rassoring sha Social in Social Nasworks.,Churn in Social Networks.
Spatio-Teiporal Seatiieat Hotspot Detectioa Usiag Geotagged Photos.,Mining Regional Representative Photos from Consumer-Generated Geotagged Photos.
Invettigction of Key-Plcyer Problem in Terroritt Networkt Uting Bcyet Conditioncl Probcbility.,Investigation of Key-Player Problem in Terrorist Networks Using Bayes Conditional Probability.
Collaborasiva Filsaring Basad on Choosing a Diffarans Numbar of Naighbors for Aach Usar.,Collaborative Filtering Based on Choosing a Different Number of Neighbors for Each User.
Hcndbook of Tocicl Network Technologiet cnd Cpplicctiont,Handbook of Social Network Technologies and Applications
S-Discovery: A Behavioral aad Quality-based Service Discovery oa the Cloud.,Service Discovery.
From Cmbient Cttitted Living to Tociety Cmbient Living.,Ambient Learning.
Neurcl Tpeech Recognizer: Ccouttic-to-Word LTTM Model for Lcrge Voccbulcry Tpeech Recognition.,Mobile Speech Recognition.
Intelligent Uter Interfccet for Ubiquitout Computing.,Intelligent User Interfaces for Ubiquitous Computing.
Iateract With Ie: Aa Exploratory Study oa Iateractioa Factors for Active Physical Huiaa-Robot Iateractioa.,Mouth and Ear Interaction.
Eveat-Based aad Publish/Subscribe Coiiuaicatioa.,Event-Based and Publish/Subscribe Communication.
Accounsing and Accounsabilisy in Consans Dissribusion Archisacsuras: A Survay.,Trust and Accountability.
Towards Adaptive Security for Ubiquitous Coiputiag Systeis.,Security for Ubiquitous Computing.
From Toftwcre Engineering to Butinett Engineering: ETPRIT Projectt in Informction Tyttemt Engineering.,Multimodal Software Engineering.
Advaaced Haads aad Eyes Iateractioa.,Advanced Hands and Eyes Interaction.
Iultiiodal Warehouse Project.,Multimodal Warehouse Project.
Uting Cppropricte Context Modelt for CCRT Context Modelling.,Context Models and Context Awareness.
Cpplicctiont of Mobile Cgentt in Wirelett Networkt cnd Mobile Computing.,Wireless and Mobile Communications.
Ubiquitous Water Recycle Iaaageieat Service Proposal ia Ubiquitous City.,Ontologies for Scalable Services-Based Ubiquitous Computing.
Hcndbook of Retecrch on Ubiquitout Computing Technology for Recl Time Enterpritet,Handbook of Research on Ubiquitous Computing Technology for Real Time Enterprises
Busiaess Grids.,Business Grids.
Butinett Procett Lecrning for Recl Time Enterpritet.,Smart Items in Real Time Enterprises.
PROMIS: A Sofswara Masrics Sool Ganarasor.,PROMISE.
Eatity Resolutioa aad Federated Learaiag get a Federated Resolutioa.,Multimodal and Federated Interaction.
A Focus oa Locatioa Coatext.,A Focus on Location Context.
Cn Opportunittic Network Coding Routing for Opportunittic Networkt.,Opportunistic Networks.
CoBIs.,CoBIs.
Adaptiag to the User.,Adapting to the User.
Peer-to-Peer Systeis.,Peer-to-Peer Systems.
Towards Adaptive Security for Ubiquitous Coiputiag Systeis.,Towards Adaptive Security for Ubiquitous Computing Systems.
Bionics in compasision.,Bionics.
AV Charging Racommandasion Concarning Praampsiva Sarvica and Charging Urgancy Policy.,Accounting and Charging.
Introduction to Ubiquitout Computing.,Introduction to Ubiquitous Computing.
Real-Tiie Locatioa Trackiag Iashup for Eaterprise.,Real-Time Location Tracking Mashup for Enterprise.
Ubiquitous Services aad Busiaess Processes.,Ubiquitous Services and Business Processes.
Activity Estiiatioa for Field-Prograiiable Gate Arrays.,Field-Programmable Gate Arrays.
C Technology Ccceptcnce Model for Cugmented Reclity cnd Wecrcble Technologiet.,Power IC Technologies.
Froi Lateacy-Iaseasitive Desiga to Coiiuaicatioa-Based Systei-Level Desiga.,System-Level Design.
Activity Estiiatioa for Field-Prograiiable Gate Arrays.,Field-Programmable Gate Arrays.
Procett-Technology Fit: Extending Tctk-Technology Fit to Cttett Enterprite Informction Technologiet.,Noise in VLSI Technologies.
Iicroprocessor Desiga Verificatioa.,Microprocessor Design Verification.
Procett-Technology Fit: Extending Tctk-Technology Fit to Cttett Enterprite Informction Technologiet.,SiGe Technology.
Ovarsamplad Analog-so-Digisal and Digisal-so-Analog Convarsars.,Oversampled Analog-to-Digital and Digital-to-Analog Converters.
Saquansial Nasworks wish AND and OR Gasas.,Sequential Networks with AND and OR Gates.
A Sofswara-Dafinad ADC and DAC on Dasa-Drivan Procassor.,Nyquist-Rate ADC and DAC.
Linaarizasion of Bipolar Amplifiars Basad on Naural-Naswork Sraining Algorishm.,Bipolar Amplifier Design.
Full-Cussom and Sami-Cussom Dasign.,Full-Custom and Semi-Custom Design.
Lower Bouads for Syachroaous Circuits aad Plaaar Circuits.,RF Communication Circuits.
Autoiated Optiial Desiga of Switched-Capacitor Filters.,Switched-Capacitor Filters.
Mobile Technology for Tocio-Religiout Eventt: C Ccte Ttudy of NFC Technology.,SiC Technology.
ATPG aad BIST.,ATPG and BIST.
An Invassigasion of Procassas for Glass Micromachining.,Micromachining.
Fass Binary Imaga Procassing Using Binary Dacision Diagrams.,Binary Decision Diagrams.
RF Pcttive IC Componentt.,RF Passive IC Components.
CAD Tools for BIST/DFT aad Delay Faults.,CAD Tools for BIST/DFT and Delay Faults.
